alphorn
baglama
bagpipe
balalaika
banjo
bass
bass-clarinet
bass-drum
bass-guitar
bassoon
berimbau
bongos
bouzouki
bugle
cajon
calliope
castanets
celesta
cello
chromatic-accordion
clapsticks
clarinet
clavichord
concertina
conch
conga
cymbals
daf
davul
didgeridoo
dizi
djembe
duduk
dulcimer
electric-guitar
erhu
euphonium
flute
french-horn
fujara
glockenspiel
goblet-drum
guitar
guqin
guzheng
handpan
harmonica
harp
harpsichord
hurdy-gurdy
kazoo
kantele
kemenche
kendhang
kora
koto
mandolin
marimba
mbira
nadaswaram
nose-flute
oboe
ocarina
oud
pan-flute
piano
piccolo
pipa
rebab
recorder
sarangi
saxophone
shakuhachi
shamisen
sitar
snare-drum
steel-drum
tabla
taiko
tam-tam
tamborine
theremin
timpani
tin-whistle
tom-tom
triangle
trombone
trumpet
tuba
tubular-bells
ukulele
valiha
veena
viola
violin
vuvuzela
whirly-tube
wood-block
xun
xylophone
