Classic Rock
Hard Rock
Soft Rock
Alternative
Indie Rock
Progressive Rock
Grunge
Punk
Pop
Indie Pop
Pop Latino
Electropop
Classical
Symphony
Chant
Choral
Opera
A Cappella
Showtunes/Musical Theater
Hymns
Barbershop
Electronic Dance Music
Electronic
Electronica
Electronic Rock
Dubstep
Techno
Eurodance
Swing
Honky Tonk
Salsa
Disco
Boogie
Boogie-Woogie
Ragtime
Flamenco
Blues
Jazz
Easy Listening
Lounge
Folk
American Folk Revival
Classic Country
Country Blues
Modern Country
Bluegrass
Contemporary Bluegrass
Hip Hop
Rap
New Wave
R&B
Garage
Funk
Reggae
Reggaeton
Crunk
Soul
New Age
Folk Punk
Alternative Hip Hop
Ska
Hardcore Hip Hop
K-Pop
Trap
Psychedelic Rock
Celtic
World
Metal
Emo
Trance
Gospel
Big Band
Drum and Bass
House
Grime
